一一	fhfh
售后服务	vomj
售完	vier
售房	vifm
售楼	viam
售票	viqd
售票员	vqid
售票处	vqjd
售货	vikh
售货亭	vkwu
售货员	vkid
唯一	ivfh
唯利是图	izju
唯命是从	itjs
唯命是听	itji
唯唯诺诺	iivv
唯实	ivel
唯心	ivng
唯心主义	inoo
唯心史观	iniw
唯恐	ivnp
唯恐天下不乱	infv
唯我	ivcp
唯我独尊	iclv
唯才是举	igjh
唯有	ivgm
唯物	ivls
唯物主义	iloo
唯物史观	iliw
唯物论	ilvh
唯物辩证法	iljh
唯独	ivlj
唯美	ivix
唯美主义	iioo
唱主角	iorq
唱出	ijiz
唱功	ijna
唱反调	iovz
唱名	ijxi
唱和	ijzi
唱响	ijic
唱喏	ijiw
唱完	ijer
唱戏	ijwi
唱本	ijaf
唱机	ijap
唱歌	ijzz
唱段	ijpf
唱片	ijnb
唱独角戏	ilrw
唱盘	ijlb
唱着	ijig
唱碟	ijqx
唱票	ijqd
唱腔	ijmz
唱衰	ijwf
唱词	ijvp
唱诗	ijvb
唱起	ijqj
唱酬	ijtj
唱高调	iwvz
唾余	ihsz
唾弃	ihpw
唾手可得	ipzj
唾沫	ihhf
唾液	ihhu
唾骂	ihrx
啃噬	iliz
啄木鸟	iawl
啄食	ikoz
商丘	yzof
商业	yzoq
商业区	yoeo
商业性	yond
商业片	yonb
商业街	yofb
商业银行	yocf
商人	yzsi
商代	yzkn
商会	yzsp
商务	yzja
商务部	yjyi
商厦	yzof
商号	yzif
商品	yzir
商品房	yifm
商品流通	yihn
商品粮	yimo
商品经济	yirh
商团	yzug
商圈	yzuv
商场	yzbp
商城	yzbu
商埠	yzbc
商学院	yhte
商定	yzek
商家	yzek
商店	yzgd
商情	yznz
商战	yzdi
商户	yzfk
商报	yzpw
商数	yzms
商旅	yzml
商朝	yzgj
商机	yzap
商标	yzad
商检	yzat
商榷	yzae
商汤	yzhp
商法	yzhb
商洛	yzhq
商洽	yzht
商海	yzhl
商用	yzql
商界	yzss
商社	yzdb
商船	yzlp
商行	yzfj
商誉	yzhv
商讨	yzvl
商议	yzvo
商谈	yzvy
商贩	yzdo
商贸	yzfd
商贾	yzqd
商道	yzvc
商酌	yzts
商量	yzjf
商铺	yzcg
商队	yzts
商院	yzte
商鞅	yzgz
商鞅变法	yguh
啊哈	itit
啜泣	iwhy
啜饮	iwff
啤酒	idht
啥子	isyd
啥时候	ijkk
啥样	isai
啦啦队	iits
啧啧	iziz
啧啧称奇	iizx
啪啪	ipip
啪嗒	ipiw
啪嚓	ipie
啮合	isti
啰嗦	iyig
啸傲	iukt
啼泣	iyhy
啼笑	iyzc
啼笑皆非	izhd
啼鸣	iyiw
喀什	iekg
喀吧	ieie
喀嚓	ieie
喀斯特	imlb
喀麦隆	iztj
喂养	isio
喂奶	issv
喂料	ismp
喂食	isoz
喂马	isxh
喃喃	igig
喃喃细语	iirv
喃喃自语	iicv
善业	ivoq
善举	ivhv
善事	ivfi
善于	ivfg
善变	ivuy
善后	ivof
善哉	ivgi
善始善终	isir
善待	ivjb
善心	ivng
善恶	ivfo
善意	ivan
善感	ivuf
善战	ivdi
善报	ivpw
善有善报	igip
善本	ivaf
善根	ivat
善款	ivmd
善用	ivql
善男信女	isks
善类	ivmx
善终	ivrj
善罢甘休	iymk
善者不来	ircj
善良	ivot
善莫大焉	iwxf
善行	ivfj
善解人意	irsa
善言	ivme
善辩	ivjv
喇叭	iuiv
喇嘛	iuio
喉咙	ikij
喉头	iklx
喉炎	ikyy
喉结	ikrm
喉舌	ikvl
喉镜	ikca
喊了	iufu
喊价	iuks
喊住	iuko
喊冤	iuez
喊出	iuiz
喊叫	iuih
喊声	iumm
喊着	iuig
喊话	iuvv
喊道	iuvc
喋喋不休	iick
喑哑	iaif
喔喔	imim
喘不过气	iclf
喘息	idcn
喘息未定	icje
喘气	idfq
喜上眉梢	hdma
喜不自禁	hcca
喜不自胜	hccm
喜丧	hibv
喜乐	hino
喜事	hifi
喜人	hisi
喜从天降	hsft
喜兴	hihv
喜出望外	hixx
喜剧	himq
喜剧片	hmnb
喜好	hisy
喜宴	hiej
喜庆	higx
喜形于色	hffr
喜忧参半	hnnv
喜怒	hisw
喜怒哀乐	hswn
喜怒无常	hsux
喜悦	hinv
喜报	hipw
喜新厌旧	hyok
喜极而泣	hauh
喜欢	hiwf
喜欢你	hwkr
喜欢的	hwds
喜气洋洋	hfhh
喜洋洋	hhhi
喜滋滋	hhhv
喜爱	hite
喜笑颜开	hzyf
喜糖	himg
喜结良缘	hror
喜结连理	hryg
喜联	hiqv
喜色	hire
喜获	hiwl
喜蛋	hikj
喜讯	hivp
喜迁	hihl
喜酒	hiht
喜钱	hicf
喜闻乐见	hbnu
喜雨	hitf
喜马拉雅	hxpy
喜鹊	hixj
喝下	ijfd
喝了	ijfu
喝令	ijtn
喝倒彩	ikta
喝光	ijsj
喝到	ijck
喝多	ijxx
喝奶	ijsv
喝完	ijer
喝干	ijlr
喝彩	ijta
喝斥	ijoo
喝杯	ijac
喝水	ijhg
喝汤	ijhp
喝点	ijdi
喝着	ijig
喝粥	ijom
喝茶	ijws
喝药	ijwr
喝西北风	iqnp
喝足	ijuz
喝过	ijll
喝道	ijvc
喝酒	ijht
喝醉	ijtu
喝问	ijbi
喝闷酒	ibht
喟叹	isiw
喟然	isml
喟然长叹	imxi
喧哗	ieik
喧嚣	ierk
喧嚷	ieiu
喧天	iefx
喧宾夺主	iexo
喧扰	iepg
喧杂	ieda
喧笑	iezc
喧腾	iemv
喧闹	iebu
喧阗	iebg
喷出	igiz
喷发	igiw
喷嘴	igil
喷嚏	igig
喷墨	igub
喷壶	igme
喷头	iglx
喷射	igll
喷撒	igpx
喷施	igml
喷枪	igas
喷气	igfq
喷气机	ifap
喷水	ighg
喷水池	ihhh
喷泉	igdh
喷洒	ighq
喷浆	ignx
喷涂	ighs
喷涌	ighn
喷溅	ighd
喷漆	igha
喷灌	ighw
喷火	igyv
喷火器	iyrl
喷灯	igyu
喷画	igfs
喷码	igqx
喷砂	igqo
喷粪	igmx
喷绘	igrs
喷薄欲出	iwpi
喷薄而出	iwui
喷血	igcb
喷雾	igtj
喷雾器	itrl
喷香	igzj
喹啉	ixia
喻义	itoo
喻示	itdd
嗅到	icck
嗅觉	iche
嗉囊	izgi
嗑药	ibwr
嗓子	iwyd
嗓门	iwbo
嗓音	iwar
嗔怒	igsw
嗔怨	igxw
嗔怪	ignw
嗜书如命	ipst
嗜好	irsy
嗜杀成性	ioun
嗜烟	iryu
嗜睡	irgh
嗜血	ircb
嗜血成性	icun
嗜酒	irht
嗟叹	iiiw
嗟悔	iinl
嗟来之食	ijdo
嗡嗡	iviv
嗣位	ijky
嗣后	ijof
嗣子	ijyd
嗤之以鼻	idhc
嗤笑	iizc
嗥叫	idih
嗫嚅	iqit
嗷嗷待哺	iiji
嗾使	imkf
嘀咕	iyiq
嘀嗒	iyiw
嘈杂	ifda
嘉义	haoo
嘉兴	hahv
嘉勉	haza
嘉华	hakh
嘉奖	hanx
嘉宾	haeo
嘉年华	hlkh
嘉庆	hagx
嘉许	havl
嘉陵	hatb
嘉陵江	hthn
嘉靖	hayz
嘎吱	ifib
嘎嘎	ifif
嘎嘣脆	iimr
嘎巴	ifew
嘎然	ifml
嘘唏	iqio
嘘声	iqmm
嘘寒问暖	iebj
嘟哝	irie
嘟嘟	irir
嘟囔	irig
嘱咐	imik
嘱托	impc
嘲弄	iggw
嘲笑	igzc
嘲讽	igvp
嘴上	ildf
嘴乖	ilhn
嘴刁	ilpf
嘴唇	ilqi
嘴尖	ilox
嘴巴	ilew
嘴损	ilpi
嘴甜	ilvm
嘴皮	ilem
嘴直	ilgg
嘴硬	ilqt
嘴笨	ilza
嘴脸	ilmt
嘴角	ilrq
嘴软	ilyf
嘴边	ilal
嘴里	ildn
嘶叫	imih
嘶吼	imiy
嘶哑	imif
嘶喊	imiu
嘶鸣	imiw
嘹亮	ixwp
嘻哈	ihit
嘻嘻	ihih
嘻嘻哈哈	iiii
嘻皮笑脸	iezm
嘿咻	iuik
嘿嘿	iuiu
噎死	imqh
噗哧	ioib
噗嗤	ioii
噗通	ionq
噤声	iamm
噤若寒蝉	iwej
器乐	rlno
器件	rlkl
器具	rlgv
器宇	rlef
器宇轩昂	reyj
器官	rleu
器材	rlag
器械	rlai
器物	rlls
器皿	rlbk
器质	rlog
器重	rlhd
器量	rljf
噩兆	gral
噩梦	graa
噩耗	grfo
噩运	grpl
噪声	iimm
噪音	iiar
噬菌体	iwka
噱头	iqlx
噼啪	irip
噼里啪啦	idii
嚅动	itpa
嚎叫	iwih
嚎啕大哭	iixr
嚣张	rkox
嚷着	iuig
嚷道	iuvc
嚼烂	ityv
嚼舌	itvl
嚼蜡	itjx
囊中	giik
囊中之物	gidl
囊中羞涩	giih
囊括	gipv
囊空如洗	gzsh
囊肿	gimi
囊萤映雪	gwjt
囚徒	cvjq
囚牢	cvel
囚犯	cvlw
囚禁	cvaa
囚笼	cvzj
囚衣	cvor
囚车	cvyf
四万	ytfk
四下无人	yfus
四不像	yckw
四世同堂	yxzx
四两拨千斤	yapo
四个现代化	ysgk
四书五经	ypjr
四五	ytji
四人帮	yszt
四亿	ytkj
四体不勤	ykcx
四出	ytiz
四分之一	yvdf
四分五裂	yvjq
四则运算	ydpz
四化建设	ykuv
四十	ytgl
四千	ythc
四合院	ytte
四周	ytzb
四呼	ytic
四四方方	yymm
四国	ytug
四处	ytjd
四大发明	yxij
四大天王	yxfg
四大皆空	yxhz
四季	ytzy
四季如春	yzsz
四季常青	yzxz
四季豆	yzei
四川	ytjv
四川大学	yjxh
四平八稳	ylvz
四年级	ylrk
四库全书	ygsp
四散	ytxm
四方	ytmx
四旁	ytye
四时	ytjl
四海	ythl
四海一家	yhfe
四海为家	yhoe
四海之内皆兄弟	yhdv
四海升平	yhcl
四溅	ythd
四环素	ygzh
四瓶	ytvw
四百	ytfd
四肢	ytmb
四肢发达	ymix
四肢百骸	ymff
四脚朝天	ymgf
四脚蛇	ymje
四至	ytcy
四舍五入	ysjx
四路	ytuq
四边	ytal
四边形	yafw
四通八达	ynvx
四部	ytyi
四面八方	yhvm
四面楚歌	yhaz
四项基本原则	ynmd
四顾	ytow
四驱	ytxe
回不去	ucbn
回乡	uiff
回事	uifi
回京	uiwo
回传	uikr
回信	uikm
回光返照	usoj
回击	uipz
回函	uiph
回到	uick
回升	uicw
回单	uivs
回历	uioa
回去	uibn
回合	uiti
回味	uiij
回味无穷	uiuz
回响	uiic
回嘴	uiil
回回	uiui
回国	uiug
回城	uibu
回填	uibg
回声	uimm
回复	uilj
回天	uifx
回天乏术	ufca
回天无力	ufua
回头	uilx
回头客	uleq
回头是岸	uljd
回头率	ulub
回头路	uluq
回家	uiek
回师	uikf
回帖	uiud
回应	uigh
回府	uigk
回廊	uigo
回弹	uiov
回归	uiks
回归祖国	ukdu
回归线	ukrf
回形针	ufcg
回心转意	unya
回忆	uinj
回忆录	unsh
回想	uiag
回房	uifm
回手	uipc
回扣	uipi
回执	uipt
回护	uipf
回报	uipw
回报率	upub
回拨	uipi
回援	uipt
回收	uihr
回收站	uhyd
回改	uijr
回放	uimr
回教	uiry
回敬	uiwt
回文	uiwm
回旋	uiml
回旋余地	umsb
回族	uiml
回春	uizo
回暖	uijt
回望	uixm
回本	uiaf
回来	uijv
回民	uins
回波	uihe
回流	uihp
回涨	uiho
回溯	uihv
回潮	uihg
回火	uiyv
回炉	uiyf
回环	uigc
回生	uidh
回电	uijp
回目	uigy
回眸	uign
回眸一笑	ugfz
回礼	uidp
回神	uidj
回禀	uiuu
回程	uizi
回笼	uizj
回答	uizt
回纥	uirl
回绕	uiri
回绝	uirr
回翔	uiie
回老家	urek
回聘	uiqi
回肠	uimp
回肠荡气	umwf
回荡	uiwh
回落	uiwh
回蓝	uiwk
回见	uiuw
回访	uivm
回话	uivv
回请	uivz
回调	uivz
回购	uids
回赠	uidv
回跌	uiuc
回路	uiuq
回身	uilc
回车	uiyf
回转	uiyr
回迁	uihl
回过	uill
回过头来	ullj
回过神	uldj
回过神来	uldj
回返	uiow
回还	uicl
回退	uitl
回道	uivc
回避	uirl
回锅	uici
回门	uibo
回音	uiar
回顾	uiow
回馈	uifj
回首	uivc
回首往事	uvjf
回马枪	uxas
回驳	uixo
囟门	clbo
因为	uxoa
因人而异	usud
因伤	uxkl
因何	uxkz
因公	uxvn
因其	uxmv
因势利导	upzd
因噎废食	uigo
因地制宜	uble
因子	uxyd
因小失大	uocx
因应	uxgh
因式	uxnn
因循	uxjo
因循守旧	ujek
因故	uxqr
因数	uxms
因时制宜	ujle
因明	uxjm
因材施教	uamr
因果	uxsa
因果关系	usvc
因果报应	uspg
因此	uxlh
因特网	ulzo
因由	uxis
因病	uxxf
因祸得福	udjd
因私	uxzn
因素	uxzh
因缘	uxrs
因而	uxua
因陋就简	utwz
囡囡	usus
团中央	uizx
团伙	ugky
团体	ugka
团体操	ukpi
团体赛	ukeb
团员	ugid
团团	ugug
团团围住	uuuk
团团转	uuyr
团圆	ugui
团委	ugzs
团子	ugyd
团弄	uggw
团总支	uvbh
团战	ugdi
团扇	ugfe
团拜	ugpf
团支书	ubpp
团支部	ubyi
团日	ugje
团校	ugac
团练	ugrl
团组织	urri
团结	ugrm
团结一致	urfc
团结互助	urfr
团结友爱	urgt
团聚	ugqw
团购	ugds
团费	ugud
团里	ugdn
团长	ugxk
团队	ugts
团队精神	utmd
囤积	ufzi
囤积居奇	uzmx
囤聚	ufqw
囫囵	usuh
囫囵吞枣	uufa
囫囵觉	uuhe
园丁	urue
园中	urik
园内	urzs
园区	ureo
园囿	urug
园圃	urug
园地	urbh
园子	uryd
园林	uraa
园艺	urwj
园里	urdn
园长	urxk
困乏	uacd
困了	uafu
困于	uafg
困住	uako
困倦	uakv
困兽	uavs
困兽之斗	uvdp
困兽犹斗	uvlp
困在	uagk
困境	uaba
困守	uael
困局	uamp
困惑	uaii
困扰	uapg
困死	uaqh
困窘	uazs
困苦	uawq
困觉	uahe
困难	uawv
困难户	uwfk
困难重重	uwhh
困顿	uafi
围住	uqko
围剿	uqjs
围困	uqua
围垦	uqtb
围城	uqbu
围堵	uqbr
围墙	uqbb
围巾	uquw
围成	uqup
围拢	uqpj
围挡	uqpo
围捕	uqpg
围攻	uqnr
围栏	uqav
围棋	uqam
围歼	uqqh
围猎	uqlx
围着	uqig
围绕	uqri
围聚	uqqw
围裙	uqos
围观	uqwu
围追堵截	ucbg
围魏救赵	uzfq
固件	uqkl
固体	uqka
固化	uqkh
固原	uqod
固守	uqel
固定	uqek
固定资产	uely
固态	uqxo
固执	uqpt
固执己见	upju
固有	uqgm
固步自封	ulcb
固然	uqml
固若金汤	uwth
固话	uqvv
固顶	uquk
国丧	ugbv
国中	ugik
国之利器	udzr
国书	ugpp
国事	ugfi
国事访问	ufvb
国产	ugyo
国产化	uykh
国人	ugsi
国仇	ugkd
国企	ugsl
国会	ugsp
国体	ugka
国债	ugkz
国光	ugsj
国内	ugzs
国内外	uzxd
国内生产总值	uzdk
国军	ugey
国别	ugia
国力	ugau
国务	ugja
国务卿	ujft
国务委员	ujzi
国务院	ujte
国务院副总理	ujtg
国务院总理	ujtg
国势	ugpt
国医	ugee
国史	ugio
国号	ugif
国名	ugxi
国君	ugsc
国土	ugbm
国境	ugba
国士无双	umuw
国外	ugxd
国奥	ugcz
国威	uguf
国子监	uykz
国字	ugey
国学	ughe
国安	uges
国宝	ugeg
国宴	ugej
国家	ugek
国家主席	ueog
国家公园	uevu
国家利益	uezh
国家大事	uexf
国家安全	uees
国家机关	ueav
国家标准	ueal
国家栋梁	ueah
国家级	uerk
国家统一	uerf
国家统计局	uerm
国家财产	uedy
国家赔偿	uedk
国家队	uets
国宾	ugeo
国宾馆	uefe
国富兵强	ueoo
国富民强	ueno
国将不国	uncu
国小	ugot
国庆	uggx
国庆日	ugje
国庆节	ugww
国库	uggy
国库券	ugvs
国府	uggk
国度	uggx
国徽	ugyh
国情	ugnz
国戚	ugud
国手	ugpc
国政	ugfl
国故	ugqr
国教	ugry
国文	ugwm
国旗	ugml
国无宁日	uuej
国是	ugjk
国有	uggm
国有企业	ugso
国有国法	uguh
国有股	ugmq
国有资产	ugly
国术	ugao
国权	ugaw
国标	ugad
国格	ugaq
国歌	ugzz
国殇	ugql
国民	ugns
国民党	unxa
国民待遇	unjs
国民收入	unhx
国民生产总值	undk
国民经济	unrh
国法	ughb
国泰	ugzo
国泰民安	uzne
国父	ugvo
国王	uggi
国球	uggf
国电	ugjp
国画	ugfs
国界	ugss
国破家亡	uqex
国税	ugzv
国立	ugyq
国策	ugza
国籍	ugzf
国粹	ugmu
国统区	ureo
国美	ugix
国耻	ugql
国联	ugqv
国脚	ugmb
国航	uglu
国色	ugre
国色天香	urfz
国花	ugwk
国药	ugwr
国营	ugwe
国营企业	uwso
国葬	ugwq
国计民生	uvnd
国语	ugvj
国货	ugkh
国贸	ugfd
国贼	ugdi
国资	uglf
国足	uguz
国运	ugpl
国道	ugvc
国都	ugrj
国门	ugbo
国防	ugtm
国防军	utey
国防大学	utxh
国防部	utyi
国防部长	utyx
国际	ugtd
国际上	utdf
国际主义	utoo
国际会议	utsv
国际儿童节	utaw
国际先进水平	utll
国际关系	utvc
国际劳动节	utww
国际化	utkh
国际合作	uttk
国际奥委会	utcs
国际市场	utub
国际性	utnd
国际惯例	utnk
国际新闻	utyb
国际日期变更线	utjr
国际机场	utab
国际歌	utzz
国际法	uthb
国际社会	utds
国际竞争	utyr
国际经济	utrh
国际象棋	utwa
国际贸易	utfj
国际金融	uttp
国际音标	utaa
国难	ugwv
国难当头	uwol
图上	ujdf
图中	ujik
图书	ujpp
图书馆	upfe
图例	ujkq
图像	ujkw
图册	ujjz
图利	ujzk
图存	ujgk
图层	ujmp
图库	ujgy
图式	ujnn
图录	ujsh
图形	ujfw
图报	ujpw
图文	ujwm
图文并茂	uwvw
图新	ujya
图景	ujjw
图板	ujao
图标	ujad
图样	ujai
图案	ujes
图灵	ujsy
图片	ujnb
图画	ujfs
图示	ujdd
图穷匕见	uzhu
图章	ujag
图籍	ujzf
图纸	ujrq
图腾	ujmv
图表	ujzo
图解	ujrq
图记	ujvj
图说	ujvv
图谋	ujvm
图谋不轨	uvcy
图谱	ujvv
图象	ujwp
图财害命	udet
图鉴	ujkz
图钉	ujcu
图集	ujva
囿于	ugfg
圆凳	uive
圆台	uini
圆号	uiif
圆周	uizb
圆周率	uzub
圆圆	uiui
圆圈	uiuv
圆场	uibp
圆寂	uied
圆底	uigq
圆弧	uioq
圆形	uifw
圆心	uing
圆成	uiup
圆房	uifm
圆明园	ujur
圆月	uimd
圆柱	uiao
圆桌	uidj
圆梦	uiaa
圆润	uihb
圆滑	uihf
圆满	uihw
圆满完成	uheu
圆满成功	uhun
圆点	uidi
圆熟	uiwy
圆珠笔	ugzo
圆球	uigf
圆白菜	udwt
圆盘	uilb
圆石	uiqq
圆管	uize
圆缺	uiue
圆脸	uimt
圆舞曲	ulrw
圆融	uipj
圆规	uisu
圆角	uirq
圆谎	uivw
圆通	uinq
圆钢	uicz
圆锥	uicv
圆鼓鼓	uhhb
圈中	uvik
圈养	uvio
圈内	uvzs
圈圈	uvuv
圈圈点点	uudd
圈地	uvbh
圈套	uvxs
圈子	uvyd
圈定	uvek
圈拢	uvpj
圈椅	uvax
圈点	uvdi
圈选	uvla
圈里	uvdn
圈钱	uvcf
圈阅	uvbv
土产	bmyo
土俗	bmkp
土包子	bsyd
土匪	bmed
土司	bmpf
土地	bmbh
土地改革	bbjg
土块	bmbe
土坯	bmbc
土堆	bmbv
土壤	bmbu
土家	bmek
土家族	beml
土层	bmmp
土崩瓦解	bdfr
土库曼斯坦	bgjb
土建	bmuv
土拨鼠	bpqk
土改	bmjr
土方	bmmx
土族	bmml
土星	bmjd
土木	bmaj
土枪	bmas
土气	bmfq
土法	bmhb
土炕	bmyu
土特产	blyo
土生土长	bdbx
土皇帝	bdye
土石方	bqmx
土耳其	bqmv
土著	bmwr
土葬	bmwq
土话	bmvv
土豆	bmei
土豪	bmwk
土豪劣绅	bwor
土货	bmkh
土质	bmog
土里土气	bdbf
土音	bmar
土鳖	bmkr
土鸡	bmww
圣上	wbdf
圣人	wbsi
圣代	wbkn
圣保罗	wkyx
圣光	wbsj
圣典	wbjv
圣兽	wbvs
圣地	wbbh
圣城	wbbu
圣堂	wbxb
圣女	wbsm
圣彼得堡	wjjk
圣恩	wbux
圣战	wbdi
圣所	wbfo
圣手	wbpc
圣旨	wbhj
圣明	wbjm
圣殿	wbmx
圣母	wbqt
圣水	wbhg
圣洁	wbhm
圣火	wbyv
圣灵	wbsy
圣经	wbrw
圣经贤传	wrkk
圣者	wbrj
圣药	wbwr
圣衣	wbor
圣训	wbvj
圣诞	wbvc
圣诞树	wvaw
圣诞老人	wvrs
圣诞节	wvww
圣贤	wbkw
在一起	gfqj
在下	gkfd
在世	gkxp
在乎	gkcv
在于	gkfg
在京	gkwo
在他看来	gkpj
在任	gkkc
在位	gkky
在先	gkla
在内	gkzs
在册	gkjz
在前	gkvm
在办	gkav
在劫难逃	gbwa
在即	gktw
在后	gkof
在听	gkio
在哪里	gidn
在场	gkbp
在外	gkxd
在天之灵	gfds
在家	gkek
在岗	gkdz
在座	gkgs
在建	gkuv
在心	gkng
在意	gkan
在我看来	gcpj
在所不惜	gfcn
在所不辞	gfcv
在所难免	gfwz
在押	gkps
在握	gkpm
在旁	gkye
在望	gkxm
在朝	gkgj
在校	gkac
在校生	gadh
在案	gkes
在此	gklh
在此一举	glfh
在此之前	gldv
在此之后	gldo
在此基础上	glmd
在此期间	glmb
在理	gkgd
在线	gkrf
在编	gkrf
在职	gkqi
在行	gkfj
在读	gkvg
在这	gkwl
在这之后	gwdo
在这种情况下	gwzf
在逃	gkal
在野	gkdm
圪节	blww
圭亚那	bfpp
圭臬	bbca
地上	bhdf
地下	bhfd
地下城	bfbu
地下室	bfec
地下水	bfhg
地中海	bihl
地主	bhog
地主之谊	bodv
地主阶级	botr
地久天长	brfx
地产	bhyo
地亩	bhus
地价	bhks
地位	bhky
地利	bhzk
地利人和	bzsz
地力	bhau
地动仪	bpko
地动山摇	bpdp
地势	bhpt
地勤	bhxi
地区	bheo
地名	bhxi
地图	bhuj
地地道道	bbvv
地址	bhbl
地块	bhbe
地坛	bhbp
地埂	bhbt
地域	bhbi
地基	bhmv
地堡	bhki
地壳	bhme
地处	bhjd
地大物博	bxlg
地头	bhlx
地头蛇	blje
地契	bhzk
地委	bhzs
地学	bhhe
地宫	bhen
地层	bhmp
地峡	bhds
地市	bhuu
地带	bhfe
地幔	bhuj
地平	bhlv
地平线	blrf
地广人稀	bgsz
地库	bhgy
地底	bhgq
地府	bhgk
地形	bhfw
地形图	bfuj
地心	bhng
地心引力	bnoa
地心说	bnvv
地摊	bhpw
地支	bhbh
地方	bhmx
地方保护主义	bmko
地方性	bmnd
地方戏	bmwi
地方病	bmxf
地方税	bmzv
地权	bhaw
地板	bhao
地板砖	baqr
地极	bhak
地柜	bhae
地标	bhad
地核	bhay
地步	bhll
地段	bhpf
地毯	bhoy
地气	bhfq
地沟	bhhs
地波	bhhe
地洞	bhhz
地温	bhhj
地漏	bhhm
地点	bhdi
地热	bhpt
地煞	bhrs
地牢	bhel
地物	bhls
地狱	bhlv
地球	bhgf
地球上	bgdf
地球人	bgsi
地球仪	bgko
地球村	bgal
地理	bhgd
地理位置	bgky
地理学	bghe
地瓜	bhqj
地界	bhss
地痞	bhxc
地痞流氓	bxhx
地皮	bhem
地盘	bhlb
地矿	bhqg
地砖	bhqr
地磁	bhqv
地磅	bhqy
地租	bhzr
地秤	bhzl
地税	bhzv
地窖	bhzl
地线	bhrf
地缘	bhrs
地老天荒	brfw
地脉	bhmo
地脚	bhmb
地膜	bhmw
地衣	bhor
地表	bhzo
地貌	bhld
地质	bhog
地质学	bohe
地跨	bhux
地轴	bhyi
地道	bhvc
地里	bhdn
地量	bhjf
地铁	bhcc
地铁站	bcyd
地铺	bhcg
地陷	bhtr
地雷	bhts
地震	bhtq
地面	bhhf
地黄	bhbx
地鼠	bhqk
地龙	bhjh
场上	bpdf
场下	bpfd
场中	bpik
场内	bpzs
场合	bpti
场地	bpbh
场外	bpxd
场子	bpyd
场屋	bpmc
场所	bpfo
场景	bpjw
场次	bplf
场站	bpyd
场记	bpvj
场边	bpal
场院	bpte
场面	bphf
场面话	bhvv
场馆	bpfe
均不	bsci
均为	bsoa
均以	bshs
均价	bsks
均值	bskg
均分	bsvk
均势	bspt
均匀	bssl
均可	bszj
均属	bsmc
均已	bsnt
均摊	bspw
均有	bsgm
均未	bsjx
均沾	bshd
均由	bsis
均等	bszb
均线	bsrf
均能	bsnm
均衡	bsfe
坊间	bmbj
坍塌	bzbj
坍缩	bzre
坍陷	bztr
坎儿	bfah
坎坷	bfbz
坎德拉	bjpy
坎肩	bffm
坏东西	blqp
坏习惯	bfns
坏了	bcfu
坏事	bcfi
坏人	bcsi
坏处	bcjd
坏掉	bcpd
坏死	bcqh
坏水	bchg
坏消息	bhcn
坏点	bcdi
坏的	bcds
坏笑	bczc
坏蛋	bckj
坏话	bcvv
坏账	bcdx
坏道	bcvc
坐上	ssdf
坐下	ssfd
坐下来	sfjv
坐不改姓	scjs
坐井观天	sbwf
坐享	sswy
坐享其成	swmu
坐以待毙	shjh
坐具	ssgv
坐冷板凳	slav
坐到	ssck
坐化	sskh
坐北朝南	sngg
坐卧不宁	sdce
坐卧不安	sdce
坐台	ssni
坐吃山空	sidz
坐困	ssua
坐在	ssgk
坐地分赃	sbvd
坐垫	sspt
坐失	sscs
坐失良机	scoa
坐姿	sslf
坐守	ssel
坐定	ssek
坐山观虎斗	sdwp
坐席	ssgx
坐庄	ssgb
坐怀不乱	sncv
坐探	sspe
坐支	ssbh
坐收渔利	shhz
坐月子	smyd
坐果	sssa
坐标	ssad
坐椅	ssax
坐满	sshw
坐牢	ssel
坐班	ssgk
坐着	ssig
坐禅	ssdv
坐立不安	syce
坐等	sszb
坐而论道	suvv
坐船	sslp
坐落	sswh
坐蜡	ssjx
坐视	ssdu
坐视不理	sdcg
坐诊	ssvs
坐起	ssqj
坐车	ssyf
坐过	ssll
坐镇	sscg
坐骑	ssxx
坐骨	ssfv
坐骨神经	sfdr
坑人	busi
坑坑洼洼	bbhh
坑害	buez
坑杀	buoa
坑爹	buvo
坑蒙	buwe
坑蒙拐骗	bwpx
坑道	buvc
坑骗	buxf
块儿	beah
块垒	benn
块头	belx
块根	beat
块状	benl
块茎	beww
块钱	becf
坚不可摧	kczp
坚信	kwkm
坚信不疑	kkch
坚决	kwle
坚固	kwuq
坚壁	kwrb
坚壁清野	krhd
坚如磐石	kslq
坚守	kwel
坚守岗位	kedk
坚定	kwek
坚定不移	kecz
坚实	kwel
坚强	kwoi
坚强不屈	kocm
坚忍	kwko
坚忍不拔	kkcp
坚持	kwpb
坚持不懈	kpcn
坚持到底	kpcg
坚持四项基本原则	kpyd
坚挺	kwpc
坚果	kwsa
坚毅	kwyk
坚甲利兵	kszo
坚硬	kwqt
坚称	kwzr
坚苦卓绝	kwdr
坚贞	kwdd
坚贞不屈	kdcm
坚贞不渝	kdch
坚韧	kwqk
坚韧不拔	kqcp
坛坛罐罐	bbuu
坛子	bpyd
坟地	bwbh
坟场	bwbp
坟墓	bwwj
坟头	bwlx
坟山	bwds
坟茔	bwwe
坠下	tsfd
坠入	tsxj
坠入爱河	txth
坠地	tsbh
坠子	tsyd
坠机	tsap
坠楼	tsam
坠毁	tswn
坠海	tshl
坠落	tswh
坡地	bebh
坡度	begx
坤包	bjsd
坤表	bjzo
坦克	bjqa
坦桑尼亚	bwmf
坦然	bjml
坦然自若	bmcw
